trial
0.03, 86.73, 85.00, -0.01
0.03, 86.26, 85.00, 0.01
0.03, 85.77, 85.00, 0.03
0.03, 85.25, 85.00, -0.01
0.03, 84.68, 84.00, 0.01
0.03, 84.09, 83.00, -0.28
0.03, 83.45, 82.00, 0.01
0.03, 82.80, 81.00, -0.01
0.03, 82.10, 80.00, 0.01
0.03, 81.40, 79.00, 0.01
0.03, 80.67, 79.00, 0.01
0.03, 79.91, 78.00, 0.01
0.03, 79.13, 77.00, -0.01
0.03, 78.30, 77.00, 0.01
0.03, 77.47, 76.00, 0.01
0.03, 76.61, 75.00, 0.01
0.03, 75.72, 74.00, -0.36
0.03, 74.78, 73.00, 0.03
0.03, 73.84, 72.00, -0.01
0.03, 72.84, 71.00, -0.01
0.03, 71.83, 70.00, 0.01
0.03, 70.83, 69.00, 0.01
0.03, 69.81, 68.00, -0.01
0.03, 68.74, 67.00, 0.03
0.03, 67.69, 66.00, -0.01
0.03, 66.58, 65.00, 0.01
0.03, 65.49, 64.00, 0.01
0.03, 64.39, 64.00, -0.01
0.03, 63.23, 64.00, -0.01
0.03, 62.07, 26.00, 0.13
0.03, 60.93, 61.00, 0.01
0.03, 59.78, 57.00, 0.01
0.03, 58.63, 57.00, 0.01
0.03, 57.46, 55.00, 0.01
0.03, 56.29, 55.00, 0.03
0.03, 55.10, 55.00, -0.01
0.03, 53.87, 54.00, 0.01
0.03, 52.67, 52.00, 0.01
0.03, 51.47, 52.00, 0.01
0.03, 50.26, 50.00, -0.01
0.03, 49.01, 3.00, 0.16
0.03, 47.85, 48.00, 0.03
0.03, 46.64, 47.00, 0.01
0.03, 45.44, 9.00, 0.16
0.03, 44.28, 42.00, 0.03
0.03, 43.08, 43.00, 0.03
0.03, 41.89, 42.00, 0.16
0.03, 40.70, 41.00, 0.01
0.03, 39.51, 40.00, -0.04
0.03, 38.33, 36.00, 0.90
0.03, 37.51, 38.00, 7.69
0.03, 37.02, 37.00, 7.69
0.03, 36.86, 36.00, 7.67
0.03, 37.02, 36.00, 7.69
0.03, 37.51, 36.00, 7.69
0.03, 38.34, 36.00, 7.67
0.03, 39.48, 36.00, 7.69
0.03, 40.95, -5.00, 7.67
0.03, 42.74, 36.00, 7.67
0.03, 44.87, 36.00, 7.69
0.03, 47.31, 1.00, 7.65
0.03, 49.66, 10.00, 0.13
0.03, 52.10, 42.00, 0.04
0.03, 54.55, 8.00, 0.16
0.03, 56.90, 20.00, 0.11
0.03, 59.33, 51.00, 0.03
0.03, 61.75, 20.00, 0.14
0.03, 64.17, 56.00, -0.02
0.03, 66.67, 58.00, -0.01
0.03, 69.15, 31.00, 0.13
0.03, 71.52, 62.00, 0.01
0.03, 73.88, 64.00, 0.01
0.03, 76.22, 34.00, 0.13
0.03, 78.53, 68.00, 0.01
0.03, 80.82, 48.00, 0.01
0.03, 83.10, 50.00, 0.11
0.03, 85.33, 74.00, -0.13
0.03, 87.62, 58.00, 0.04
0.03, 89.81, 61.00, 0.09
0.03, 90.00, 82.00, 0.01
0.05, 89.92, 64.00, 0.16
0.03, 89.84, 84.00, -0.01
0.03, 89.73, 85.00, -0.01
0.03, 89.57, 84.00, 0.01
0.03, 89.39, 85.00, 0.01
0.03, 89.21, 61.00, 0.56
0.03, 88.99, 85.00, -0.01
0.03, 88.72, 85.00, 0.01
0.03, 88.45, 61.00, 0.19
0.03, 88.14, 85.00, -0.01
0.03, 87.78, 85.00, -0.01
0.03, 87.39, 85.00, 0.01
0.03, 86.99, 85.00, -0.01
0.03, 86.53, 85.00, -0.01
0.03, 86.05, 85.00, 0.01
0.03, 85.55, 85.00, 0.01
0.03, 85.03, 65.00, 0.18
0.03, 84.47, 84.00, 0.01
0.03, 83.90, 83.00, 0.01
0.03, 83.29, 81.00, 0.01
0.03, 82.66, 80.00, 0.03
0.03, 82.00, 79.00, 0.01
0.03, 81.31, 78.00, 0.01
0.03, 80.60, 78.00, 0.01
0.03, 79.86, 78.00, 0.01
0.03, 79.09, 77.00, -0.01
0.03, 78.27, 77.00, 0.01
0.03, 77.47, 54.00, 0.24
0.03, 76.64, 75.00, -0.01
0.03, 75.75, 75.00, -0.01
0.03, 74.84, 74.00, -0.01
0.03, 73.91, 72.00, -0.01
0.03, 72.95, 71.00, 0.01
0.03, 72.01, 71.00, 0.03
0.03, 71.05, 69.00, 0.03
0.03, 70.07, 69.00, 0.01
0.03, 69.08, 68.00, 0.01
0.03, 68.07, 67.00, 0.01
0.03, 67.04, 40.00, 0.14
0.03, 66.00, 65.00, 0.01
0.03, 64.94, 64.00, -0.02
0.03, 63.82, 63.00, -0.23
0.03, 62.68, 61.00, -0.02
0.03, 61.53, 58.00, 0.01
0.03, 60.41, 59.00, 0.01
0.03, 59.27, 56.00, -0.01
0.03, 58.09, 55.00, 0.03
0.03, 56.94, 55.00, 0.01
0.03, 55.78, 56.00, -0.01
0.03, 54.55, 54.00, -0.26
0.03, 53.32, 53.00, 0.01
0.03, 52.13, 51.00, 0.01
0.03, 50.93, 51.00, 0.03
0.03, 49.73, 50.00, 0.01
0.03, 48.53, 8.00, 0.16
0.03, 47.38, 48.00, 0.01
0.03, 46.17, 46.00, 0.01
0.03, 44.97, 42.00, 0.01
0.03, 43.77, 43.00, 0.03
0.03, 42.57, 43.00, 0.03
0.03, 41.37, 41.00, 0.03
0.03, 40.20, 40.00, 0.34
0.03, 39.04, 39.00, 0.41
0.03, 37.89, 38.00, 0.03
0.03, 36.74, 37.00, 0.06
0.03, 35.92, 36.00, 7.69
0.03, 35.43, 35.00, 7.65
0.03, 35.27, 31.00, 7.69
0.03, 35.44, 20.00, 7.69
0.03, 35.94, 16.00, 7.69
0.03, 36.76, 19.00, 7.69
0.03, 37.91, 17.00, 7.67
0.03, 39.40, 33.00, 7.69
0.03, 41.20, 33.00, 7.69
0.03, 43.33, -14.00, 7.67
0.03, 45.88, 13.00, 7.65
0.03, 48.35, 38.00, 0.03
0.03, 50.82, 9.00, 0.14
0.03, 53.19, 43.00, 0.01
0.03, 55.64, 46.00, 0.01
0.03, 58.11, 14.00, 0.14
0.03, 60.55, 52.00, 0.01
0.03, 62.98, 55.00, 0.01
0.03, 65.40, 57.00, -0.11
0.03, 67.90, 59.00, 0.01
0.03, 70.29, 60.00, -0.01
0.03, 72.75, 32.00, 0.13
0.03, 75.11, 64.00, -0.01
0.03, 77.53, 36.00, 0.16
0.03, 79.84, 48.00, 0.11
0.03, 82.13, 71.00, 0.01
0.03, 84.41, 56.00, 0.11
0.03, 86.65, 58.00, 0.11
0.03, 88.86, 77.00, 0.01
0.03, 90.00, 64.00, 0.14
0.05, 89.90, 83.00, -0.01
0.03, 89.81, 66.00, 0.01
0.03, 89.68, 85.00, -0.01
0.03, 89.52, 85.00, 0.01
0.03, 89.33, 61.00, 0.19
0.03, 89.12, 85.00, 0.01
0.03, 88.87, 85.00, 0.01
0.03, 88.60, 62.00, 0.19
0.03, 88.30, 85.00, 0.01
0.03, 87.97, 85.00, 0.01
0.03, 87.60, 85.00, 0.03
0.03, 87.21, 85.00, 0.01
0.03, 86.79, 85.00, 0.01
0.03, 86.33, 85.00, 0.01
0.03, 85.85, 85.00, 0.01
0.03, 85.33, 85.00, -0.01
0.03, 84.77, 84.00, -0.01
0.03, 84.17, 83.00, -0.01
0.03, 83.54, 82.00, 0.03
0.03, 82.91, 81.00, 0.01
0.03, 82.24, 80.00, 0.01
0.03, 81.56, 79.00, 0.01
0.03, 80.84, 79.00, -0.01
0.03, 80.07, 78.00, -0.01
